seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed2718,23,2030-03-28,2030-Mar-28 05:20:44.178743,2035-Oct-21 05:57:56.755949,2.070692831153,2.070692831153,14.999999999986,5.869440389260,5.566121396342,rank_023.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_023.json
seed2718,27,2030-03-28,2030-Mar-28 05:20:39.365281,2035-Oct-21 05:56:54.174803,2.070692831153,2.070692831153,14.999999999987,5.869441212277,5.566119565795,rank_027.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_027.json
seed314,32,2030-03-28,2030-Mar-28 05:20:45.590850,2035-Oct-21 05:58:03.790638,2.070692831153,2.070692831153,14.999999999992,5.869440547917,5.566121574511,rank_032.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_032.json
seed314,31,2030-03-28,2030-Mar-28 05:20:42.073726,2035-Oct-21 05:58:09.667013,2.070692831153,2.070692831153,14.999999999995,5.869440314609,5.566121872173,rank_031.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_031.json
seed314,33,2030-03-28,2030-Mar-28 05:20:37.383569,2035-Oct-21 05:56:32.846380,2.070692831153,2.070692831153,14.999999999996,5.869441773836,5.566118952734,rank_033.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_033.json
seed2718,26,2030-03-28,2030-Mar-28 05:20:37.785371,2035-Oct-21 05:56:04.181485,2.070692831153,2.070692831153,14.999999999998,5.869442430858,5.566118031666,rank_026.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_026.json
seed314,29,2030-03-28,2030-Mar-28 05:20:39.987954,2035-Oct-21 05:57:53.618448,2.070692831153,2.070692831153,14.999999999998,5.869440322295,5.566121429719,rank_029.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_029.json
seed2718,29,2030-03-28,2030-Mar-28 05:20:42.108489,2035-Oct-21 05:56:17.409711,2.070692831154,2.070692831154,14.999999999970,5.869442459962,5.566118313852,rank_029.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_029.json
seed2718,32,2030-03-28,2030-Mar-28 05:20:39.166343,2035-Oct-21 05:57:01.085631,2.070692831154,2.070692831154,14.999999999977,5.869441566294,5.566119791090,rank_032.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_032.json
seed2718,30,2030-03-28,2030-Mar-28 05:20:38.566500,2035-Oct-21 05:56:06.019631,2.070692831154,2.070692831154,14.999999999978,5.869442596503,5.566118065161,rank_030.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_030.json
