seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed314,21,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-27 07:14:39.955190,1.304708898619,1.304708898619,13.892755075533,5.545915716985,7.049371954075,rank_021.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_021.json
seed314,22,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-23 09:17:32.357276,1.309769483264,1.309769483264,13.888004853470,5.520123137108,7.038654168252,rank_022.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_022.json
seed314,23,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.315113689016,1.315113689016,14.018697855823,5.565256157839,7.015561432751,rank_023.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_023.json
seed314,24,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-23 19:03:28.651597,1.322091097737,1.322091097737,14.029684027104,5.566602410270,7.039768203993,rank_024.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_024.json
seed314,25,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-25 14:24:34.297528,1.322896584050,1.322896584050,14.018697855823,5.518262075361,7.044713625886,rank_025.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_025.json
seed314,26,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-23 09:17:32.357276,1.324229338118,1.324229338118,14.018697855823,5.524913786920,7.038654168252,rank_026.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_026.json
seed314,27,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-25 14:24:34.297528,1.342017362284,1.342017362284,14.018697855823,5.498594560739,7.044713625886,rank_027.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_027.json
seed314,28,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-23 19:03:28.651597,1.354463955936,1.354463955936,14.029684027104,5.545140337754,7.039768203993,rank_028.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_028.json
seed42,6,2034-03-25,2034-Mar-25 13:33:28.303646,2041-Apr-28 14:11:51.533562,1.416060412073,1.416060412073,14.729429512113,5.808258235778,7.093844374411,rank_006.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_006.json
seed42,7,2034-04-16,2034-Apr-16 10:55:04.905743,2041-Jul-17 19:18:02.471986,1.472516837317,1.472516837317,15.000000000000,5.559611459832,7.253523004482,rank_007.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_007.json
seed42,8,2034-04-13,2034-Apr-13 16:50:15.021510,2042-Feb-16 16:55:09.208908,1.529898354000,1.529898354000,15.000000000000,5.731742228251,7.846689678157,rank_008.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_008.json
seed314,29,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-23 19:03:28.651597,1.657187718558,1.657187718558,14.029684027104,5.485673123998,7.039768203993,rank_029.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_029.json
seed42,9,2031-01-10,2031-Jan-10 08:46:43.678187,2038-Feb-22 16:39:04.184398,1.674959284423,1.674959284423,14.380109831116,5.551905310521,7.119310102993,rank_009.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_009.json
